frequency,transmission_loss,grid_size,radius,inner_radius,gap_width
12941.176470588236,0.17052501165653156,0.022,0.005578947368421053,0.0053,0.00318
13011.764705882353,0.12338563996677848,0.022,0.005578947368421053,0.0053,0.00318
13082.352941176472,0.11283331906603201,0.022,0.005578947368421053,0.0053,0.00318
13152.94117647059,0.1533847982494091,0.022,0.005578947368421053,0.0053,0.00318
13223.529411764706,0.23215009757132454,0.022,0.005578947368421053,0.0053,0.00318
13294.117647058825,0.30974397264139164,0.022,0.005578947368421053,0.0053,0.00318
13364.705882352942,0.33483190242649075,0.022,0.005578947368421053,0.0053,0.00318
13435.29411764706,0.2728473194000624,0.022,0.005578947368421053,0.0053,0.00318
13505.882352941177,0.13563206114059345,0.022,0.005578947368421053,0.0053,0.00318
13576.470588235296,-0.011156461746617831,0.022,0.005578947368421053,0.0053,0.00318
13647.058823529413,-0.07109482503551325,0.022,0.005578947368421053,0.0053,0.00318
13717.64705882353,0.03909048227117164,0.022,0.005578947368421053,0.0053,0.00318
13788.235294117649,0.3128568993502798,0.022,0.005578947368421053,0.0053,0.00318
13858.823529411766,0.48261085793208863,0.022,0.005578947368421053,0.0053,0.00318
13929.411764705883,-0.15136105456939755,0.022,0.005578947368421053,0.0053,0.00318
14000.0,-2.110304511446245,0.022,0.005578947368421053,0.0053,0.00318
14070.588235294119,-4.871962260107837,0.022,0.005578947368421053,0.0053,0.00318
14141.176470588236,-7.692403163756198,0.022,0.005578947368421053,0.0053,0.00318
14211.764705882353,-10.244121738029746,0.022,0.005578947368421053,0.0053,0.00318
14282.352941176472,-12.449963593046643,0.022,0.005578947368421053,0.0053,0.00318
14352.94117647059,-14.311366972742768,0.022,0.005578947368421053,0.0053,0.00318
14423.529411764706,-15.846263921913746,0.022,0.005578947368421053,0.0053,0.00318
14494.117647058825,-17.07177526833423,0.022,0.005578947368421053,0.0053,0.00318
14564.705882352942,-17.999950900022373,0.022,0.005578947368421053,0.0053,0.00318
14635.29411764706,-18.636476938252688,0.022,0.005578947368421053,0.0053,0.00318
14705.882352941177,-18.979555301002073,0.022,0.005578947368421053,0.0053,0.00318
14776.470588235296,-19.018372921110544,0.022,0.005578947368421053,0.0053,0.00318
14847.058823529413,-18.731066169384114,0.022,0.005578947368421053,0.0053,0.00318
14917.64705882353,-18.081821308170667,0.022,0.005578947368421053,0.0053,0.00318
14988.235294117649,-17.015971228312836,0.022,0.005578947368421053,0.0053,0.00318
15058.823529411766,-15.450490601567653,0.022,0.005578947368421053,0.0053,0.00318
15129.411764705883,-13.254362601194426,0.022,0.005578947368421053,0.0053,0.00318
15200.000000000002,-10.207244156694944,0.022,0.005578947368421053,0.0053,0.00318
15270.588235294119,-5.925941871683369,0.022,0.005578947368421053,0.0053,0.00318
15341.176470588236,-0.10338258769747904,0.022,0.005578947368421053,0.0053,0.00318
15411.764705882353,2.863061011412487,0.022,0.005578947368421053,0.0053,0.00318
15482.352941176472,0.6250530022045022,0.022,0.005578947368421053,0.0053,0.00318
15552.94117647059,0.0015194621950799924,0.022,0.005578947368421053,0.0053,0.00318
15623.529411764706,1.8172367857786447,0.022,0.005578947368421053,0.0053,0.00318
15694.117647058825,6.2392070073167085,0.022,0.005578947368421053,0.0053,0.00318
