frequency,transmission_loss,grid_size,radius,inner_radius,gap_width
13271.263804680388,0.08442644395934573,0.022,0.0048000000000000004,0.004320000000000001,0.004968000000000001
13888.846525812445,-0.07664172302903638,0.022,0.0048000000000000004,0.004320000000000001,0.004968000000000001
14085.776985233055,0.23297291563463823,0.022,0.0048000000000000004,0.004320000000000001,0.004968000000000001
14387.63829233449,-3.879649419616744,0.022,0.0048000000000000004,0.004320000000000001,0.004968000000000001
14436.003714950057,-5.478282098996767,0.022,0.0048000000000000004,0.004320000000000001,0.004968000000000001
14603.385341367975,-10.251260052201904,0.022,0.0048000000000000004,0.004320000000000001,0.004968000000000001
14636.58192924899,-10.997492602736463,0.022,0.0048000000000000004,0.004320000000000001,0.004968000000000001
14645.67792044981,-11.189911570949116,0.022,0.0048000000000000004,0.004320000000000001,0.004968000000000001
14957.443464076687,-14.749724573512811,0.022,0.0048000000000000004,0.004320000000000001,0.004968000000000001
15102.226832580547,-14.31407612563281,0.022,0.0048000000000000004,0.004320000000000001,0.004968000000000001
15244.964224757401,-12.232684613494298,0.022,0.0048000000000000004,0.004320000000000001,0.004968000000000001
15936.174591881956,-0.19283706054941285,0.022,0.0048000000000000004,0.004320000000000001,0.004968000000000001
16291.748004195213,2.961030268885818,0.022,0.0048000000000000004,0.004320000000000001,0.004968000000000001
16383.039718025104,2.0801739994496606,0.022,0.0048000000000000004,0.004320000000000001,0.004968000000000001
16470.927918324698,1.3881034807733816,0.022,0.0048000000000000004,0.004320000000000001,0.004968000000000001
16518.21784894913,0.5485531098504827,0.022,0.0048000000000000004,0.004320000000000001,0.004968000000000001
3520.2779555699644,-0.6930041860110765,0.022,0.0054,0.00378,0.003024
3607.0099743858555,-0.5367992838760265,0.022,0.0054,0.00378,0.003024
3611.462765221603,-0.5214464992696983,0.022,0.0054,0.00378,0.003024
3898.983714830104,-0.48687154197857396,0.022,0.0054,0.00378,0.003024
4374.452481412595,-1.5991025874097842,0.022,0.0054,0.00378,0.003024
3785.0995472724826,-3.951815873297127,0.022,0.0066,0.00462,0.003696
3814.594490569805,-3.409656022327252,0.022,0.0066,0.00462,0.003696
4306.864098560738,-62.17950788376224,0.022,0.0066,0.00462,0.003696
4323.984035986734,-62.4818208872949,0.022,0.0066,0.00462,0.003696
4336.779210147228,-62.756307144545474,0.022,0.0066,0.00462,0.003696
4380.421077762654,-63.90593400126888,0.022,0.0066,0.00462,0.003696
5927.558568868094,-51.43058556190315,0.022,0.0078,0.0039,0.004484999999999999
6158.267486696296,-4.92131175743604,0.022,0.0078,0.0039,0.004484999999999999
6865.966546305773,-0.45680902699449694,0.022,0.0078,0.0039,0.004484999999999999
7036.810705713054,-2.7849324937079354,0.022,0.0078,0.0039,0.004484999999999999
7263.558591541804,-32.68429514457797,0.022,0.0078,0.0039,0.004484999999999999
11970.586861494687,0.20458654117139066,0.022,0.0066,0.00594,0.004752
12155.086400215254,0.2595199842623441,0.022,0.0066,0.00594,0.004752
12209.848099814977,0.24429413775033496,0.022,0.0066,0.00594,0.004752
12242.361562005708,0.2348902582609575,0.022,0.0066,0.00594,0.004752
12383.3102266012,0.24606355681147024,0.022,0.0066,0.00594,0.004752
12421.972905035003,0.2681495669886868,0.022,0.0066,0.00594,0.004752
12482.576632048496,0.3096098698563961,0.022,0.0066,0.00594,0.004752
12505.069846961058,0.32380617623039476,0.022,0.0066,0.00594,0.004752
12887.321642118855,0.16980881344191842,0.022,0.0066,0.00594,0.004752
12897.933587959173,0.18075713072893218,0.022,0.0066,0.00594,0.004752
13298.676837817871,-0.7217621743709812,0.022,0.0066,0.00594,0.004752
13315.319142251818,-0.7691514283032869,0.022,0.0066,0.00594,0.004752
13487.555388269455,0.5435431612794852,0.022,0.0066,0.00594,0.004752
13670.527755297486,-12.494619224509613,0.022,0.0066,0.00594,0.004752
13675.157304574393,-12.824790587847803,0.022,0.0066,0.00594,0.004752
13788.391136999982,-19.755710892137404,0.022,0.0066,0.00594,0.004752
13867.97423462506,-23.62632432471447,0.022,0.0066,0.00594,0.004752
13900.882792099106,-25.046409444071504,0.022,0.0066,0.00594,0.004752
14264.630828887735,-35.60777201164238,0.022,0.0066,0.00594,0.004752
14792.272129004996,-38.64708577542366,0.022,0.0066,0.00594,0.004752
14947.052993705156,-36.578035456563605,0.022,0.0066,0.00594,0.004752
6345.478713444375,-4.374902975580427,0.022,0.009,0.0045,0.006749999999999999
6622.7742904817105,-3.541152197259121,0.022,0.009,0.0045,0.006749999999999999
6927.152289831405,-7.223282115087405,0.022,0.009,0.0045,0.006749999999999999
7099.126269362625,-8.893598124685969,0.022,0.009,0.0045,0.006749999999999999
7242.7984357771165,-15.106320085136293,0.022,0.009,0.0045,0.006749999999999999
