model,run,multirun,dataset,MSE,L1,eval_time,n_parameters
DeepONet_2024_03_27_02_29_24,deep_o_small,22-45-12,transmission_loss_smooth,0.009575193747878075,0.06418924778699875,0.0022178824705882355,96064
DeepONet_2024_03_27_02_29_24,deep_o_small,22-45-12,transmission_loss_smooth,0.01385776698589325,0.07510630786418915,0.0022178824705882355,96064
DeepONet_2024_03_27_02_29_24,deep_o_small,22-45-12,transmission_loss_smooth,0.005306322127580643,0.05257410183548927,0.0022178824705882355,96064
DeepONet_2024_03_27_02_29_24,deep_o_small,22-45-12,transmission_loss_smooth,0.016738450154662132,0.08616951107978821,0.0022178824705882355,96064
DeepONet_2024_03_27_02_29_24,deep_o_small,22-45-12,transmission_loss_smooth,0.007968408055603504,0.06894451379776001,0.0022178824705882355,96064
DeepONet_2024_03_27_02_29_24,deep_o_small,22-45-12,transmission_loss_smooth,0.012533771805465221,0.07197615504264832,0.0022178824705882355,96064
DeepONet_2024_03_27_02_29_24,deep_o_small,22-45-12,transmission_loss_smooth,0.03347036615014076,0.1381145864725113,0.0022178824705882355,96064
DeepONet_2024_03_27_02_29_24,deep_o_small,22-45-12,transmission_loss_smooth,0.02578303962945938,0.10629931837320328,0.0022178824705882355,96064
DeepONet_2024_03_27_02_29_24,deep_o_small,22-45-12,transmission_loss_smooth,0.011064019054174423,0.07876557856798172,0.0022178824705882355,96064
DeepONet_2024_03_27_02_29_24,deep_o_small,22-45-12,transmission_loss_smooth,0.012220698408782482,0.07273681461811066,0.0022178824705882355,96064
DeepONet_2024_03_27_02_29_24,deep_o_small,22-45-12,transmission_loss_smooth,0.02070406638085842,0.10692473500967026,0.0022178824705882355,96064
DeepONet_2024_03_27_02_29_24,deep_o_small,22-45-12,transmission_loss_smooth,0.01709631457924843,0.09095577150583267,0.0022178824705882355,96064
DeepONet_2024_03_27_02_29_24,deep_o_small,22-45-12,transmission_loss_smooth,0.008042724803090096,0.06306043267250061,0.0022178824705882355,96064
