,Epochs,Val_loss,Train_loss,Lr,time
0,0,0.27231829581053363,0.29949007019939194,0.001,3.2080740928649902
1,1,0.27095585543176404,0.2780127658183316,0.0009999975326009292,3.372015953063965
2,2,0.2700436024562172,0.2769390938511814,0.0009999901304280686,3.536198854446411
3,3,0.26983342740846716,0.2768227172185139,0.000999977793554475,3.6998953819274902
4,4,0.2696164652057316,0.2766814952873322,0.0009999605221019082,3.873262405395508
5,5,0.2693407496680384,0.2765200311160949,0.0009999383162408303,4.0400402545928955
6,6,0.26901649910470715,0.2763297317257847,0.0009999111761904045,4.203254699707031
7,7,0.26860264850699384,0.27605802538883256,0.000999879102218492,4.364718675613403
8,8,0.2680232848810113,0.2756524401256837,0.00099984209464165,4.52940821647644
9,9,0.2671643249366594,0.27501493792936027,0.0009998001538251283,4.693126201629639
10,10,0.2658465634221616,0.2739882331296622,0.0009997532801828658,4.8572001457214355
11,11,0.2638708586278169,0.272375914705805,0.0009997014741774865,5.0245277881622314
12,12,0.26145505905151367,0.270125808988709,0.0009996447363202947,5.188883066177368
13,13,0.2593040984609853,0.26764797288251213,0.00099958306717127,5.3409411907196045
14,14,0.2571962825630022,0.26553245926477825,0.0009995164673390624,5.492346525192261
15,15,0.2549955857836682,0.26376699855528685,0.0009994449374809851,5.643861532211304
16,16,0.2522837610348411,0.2618860130568585,0.0009993684783030088,5.7972517013549805
17,17,0.24723995768505594,0.25878829611353127,0.000999287090559755,5.9489874839782715
18,18,0.2403117483076842,0.25269966441464714,0.0009992007750544876,6.1005706787109375
19,19,0.22310688314230545,0.23968149944242226,0.000999109532639106,6.2521374225616455
20,20,0.20491555203562198,0.21840652672641248,0.0009990133642141358,6.404756546020508
21,21,0.19912514414476312,0.2075063266667975,0.0009989122707287207,6.561158895492554
22,22,0.19546125116555588,0.2024076085492789,0.0009988062531806126,6.7129786014556885
23,23,0.1923519923635151,0.19855012821863932,0.0009986953126161619,6.866828441619873
24,24,0.1893041587394217,0.19509805171604616,0.000998579450130307,7.019237995147705
25,25,0.18617241019787995,0.19154377533010689,0.000998458666866564,7.1705567836761475
26,26,0.18352721761102261,0.18789699695196496,0.0009983329640170149,7.324097394943237
27,27,0.18192024593767914,0.1846564640122724,0.000998202342822296,7.479672431945801
28,28,0.18103504116120545,0.18211983058107906,0.0009980668045715864,7.63682222366333
29,29,0.18021034676095712,0.1802208627203861,0.0009979263506025929,7.795721054077148
30,30,0.1793724415094956,0.1788247680807688,0.00099778098230154,7.953404664993286
31,31,0.1785697140123533,0.17772437542317862,0.0009976307011031543,8.110818147659302
32,32,0.17775556056395822,0.17674706477716745,0.0009974755084906502,8.26215386390686
33,33,0.17693532096303027,0.1758332018751696,0.0009973154059957161,8.413678407669067
34,34,0.17612803371056265,0.17496584413281407,0.0009971503951984994,8.567825078964233
35,35,0.17533506906550864,0.17412790896662747,0.0009969804777275899,8.720667362213135
36,36,0.1745537966489792,0.1733070975685694,0.0009968056552600042,8.876697063446045
37,37,0.17378205060958862,0.1724970361554479,0.0009966259295211698,9.03175973892212
38,38,0.17301639396211374,0.17169387997633004,0.0009964413022849068,9.188687324523926
39,39,0.17225158344144406,0.1708947416170534,0.000996251775373412,9.34355902671814
40,40,0.17148096276366193,0.1700972160661077,0.000996057350657239,9.498206377029419
41,41,0.17069743379302646,0.16929916857954969,0.0009958580300552815,9.655576944351196
42,42,0.1698952932720599,0.16849893737270172,0.0009956538155347532,9.81016731262207
43,43,0.16907201966513757,0.16769573480249889,0.0009954447091111694,9.963077068328857
44,44,0.16822946136412414,0.16689025486808226,0.0009952307128483257,10.117069244384766
45,45,0.1673737848582475,0.16608511852212698,0.0009950118288582787,10.268634796142578
46,46,0.16651434095009512,0.16528496717114047,0.0009947880593013255,10.422764301300049
47,47,0.1656620178533637,0.16449598885444272,0.0009945594063859808,10.574842929840088
48,48,0.16482760854389356,0.1637248927211187,0.000994325872368957,10.726566314697266
49,49,0.16402023706747137,0.16297765697341368,0.0009940874595551403,10.878816843032837
50,50,0.16324627010718637,0.16225850162017777,0.0009938441702975688,11.031580686569214
51,51,0.16250867169836294,0.1615694953016488,0.0009935960069974096,11.186330080032349
52,52,0.16180745091127313,0.1609107872807836,0.000993342972103934,11.337982416152954
53,53,0.16114042440186377,0.16028119903731058,0.0009930850681144944,11.491996049880981
54,54,0.16050423811311307,0.15967882616692278,0.000992822297574499,11.644192218780518
55,55,0.15989525162655374,0.159101557695722,0.000992554663077387,11.795229434967041
56,56,0.15931003702723462,0.1585473148937685,0.0009922821672646027,11.948023319244385
57,57,0.15874560306901517,0.1580141948648246,0.0009920048128255698,12.104588508605957
58,58,0.15819940489271414,0.15750048178506185,0.0009917226024976648,12.2584969997406
59,59,0.15766923064770905,0.1570045206561146,0.0009914355390661896,12.429755926132202
60,60,0.157153088113536,0.15652471755642489,0.0009911436253643444,12.590276956558228
61,61,0.15664923644584158,0.15605950578149544,0.0009908468642731995,12.746479034423828
62,62,0.1561562082041865,0.1556073727377926,0.000990545258721667,12.901200771331787
63,63,0.1556728747875794,0.1551669633532145,0.0009902388116864722,13.056676626205444
64,64,0.15519851510939392,0.15473719702427646,0.0009899275261921235,13.212857961654663
65,65,0.15473280717497287,0.1543173332889396,0.000989611405310883,13.367907762527466
66,66,0.15427578920903412,0.1539070229573422,0.000989290452162736,13.524510145187378
67,67,0.15382760309654733,0.1535061839474253,0.000988964669915361,13.691187620162964
68,68,0.15338834472324536,0.1531148853072201,0.0009886340617840967,13.855316877365112
69,69,0.15295781713464987,0.15273311170468848,0.0009882986310319124,14.01375412940979
70,70,0.15253552146579907,0.1523606093892132,0.0009879583809693738,14.169896364212036
71,71,0.1521205539288728,0.1519967791904886,0.0009876133149546117,14.343918561935425
72,72,0.15171157471511676,0.15164061073797294,0.0009872634363932886,14.51696252822876
73,73,0.15130708917327548,0.15129076019827142,0.0009869087487385643,14.6742103099823
74,74,0.15090524567210156,0.15094554266297674,0.0009865492554910634,14.831603288650513
75,75,0.15050406041352646,0.1506030003349465,0.0009861849601988384,14.990113496780396
